paper,variant,model,group,accuracy_mean,predictors,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,ordinal_mae_mean,ordinal_mae_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,total_seconds_mean,total_seconds_std,rows,full_dataset_overall_accuracy_mean,full_dataset_overall_balanced_accuracy_mean,full_dataset_overall_macro_f1_mean,full_dataset_overall_weighted_f1_mean,full_dataset_overall_ordinal_mae_mean,full_training_primary_accuracy,full_training_primary_balanced_accuracy,full_training_primary_macro_f1,full_training_primary_weighted_f1,full_training_primary_ordinal_mae,primary_only_vs_full_training_primary_macro_f1_delta,primary_only_vs_full_training_primary_accuracy_delta
ieq,primary_only_training_and_evaluation,ANN / MLP,Primary school,0.7216235524572219,21,0.01355764231575514,0.516358635130148,0.009895812629400279,0.5402891560454101,0.00874956106247847,0.7062945641211781,0.008537739198759489,0.3177793781567475,0.01377627086731637,1.0545927800005301,0.06675928111222562,0.005172059987671673,0.0006134674107508453,1.0597648399882018,0.06629460635809986,5101,0.6934452654657312,0.4922410255446376,0.5125585299077552,0.6734439940780892,0.3463553688115922,0.7220152911193883,0.4903357606770995,0.5166621264195318,0.6965983320011394,0.32091746716330133,0.02362702962587826,-0.00039173866216646314
ieq,primary_only_training_and_evaluation,Extra Trees,Primary school,0.7622039138868084,21,0.007003017642799741,0.6245142926122351,0.010691102548510792,0.6235725448598127,0.010901494938232646,0.7598565121478396,0.006480534323010951,0.2752370801405773,0.011300511540945512,3.7201531199971214,0.03202703224898686,0.09460232000565157,0.002469040017895705,3.814755440002773,0.030111867557910742,5101,0.7247572727146149,0.5963554189438222,0.5973665961615232,0.7225011159754102,0.3124099646445551,0.7576945696922172,0.61066840090721,0.6139404348638106,0.7509563377183336,0.28249362870025485,0.00963210999600217,0.004509344194591258
ieq,primary_only_training_and_evaluation,Gradient boosting,Primary school,0.7288776862361007,21,0.005376047039570631,0.4447245923188999,0.015354251004176506,0.4633351504645032,0.024940644876950673,0.6623513326225224,0.010640613688260218,0.31856215551842676,0.009854020392220027,0.46025643999455496,0.010594637424144529,0.006232660007663071,0.00023238902049385534,0.46648910000221805,0.010535199692387942,5101,0.691247358516635,0.4456813410236095,0.4638411966861743,0.6338626409319634,0.3570405104208058,0.7184865712605372,0.41789106422491823,0.42231755912636953,0.6347190626129787,0.33424818663007255,0.04101759133813365,0.010391114975563553
ieq,primary_only_training_and_evaluation,Logistic regression,Primary school,0.48166906723512126,21,0.01703000673340033,0.4941910460753974,0.023864834625555463,0.4042484111702156,0.01738809114808395,0.5248701184611256,0.014455076970148532,0.6751650630869389,0.03293177003126879,0.08172235999954865,0.017149868030027847,0.004227879992686212,0.0003450394148171034,0.08595023999223486,0.01744955427045732,5101,0.4853663160397617,0.4634590814350052,0.4021191338850034,0.5238402632478778,0.6691543290337714,0.5195059792197608,0.4660869497911162,0.404028924206752,0.5554856801736159,0.6310527347578906,0.00021948696346357766,-0.037836911984639565
ieq,primary_only_training_and_evaluation,Random Forest,Primary school,0.7486743100766262,21,0.007388353096607509,0.6066855064177092,0.018492505482967464,0.60659863088747,0.0163327188961273,0.7434320228846573,0.00822462765020271,0.291512166080928,0.003642800521454574,0.8214628600049764,0.02411572302612548,0.04287274001399055,0.0038537949074430623,0.8643356000189669,0.025527479158463172,5101,0.7145149042318357,0.5840388992134126,0.5831756289348426,0.7105881924127166,0.3249915119084978,0.7488727700450892,0.5807969914531473,0.5887920527122423,0.7360243875124404,0.2928837482846501,0.017806578175227683,-0.00019845996846301617
ieq,full_dataset_training_primary_rows_only,ANN / MLP,Primary school,0.7220152911193883,21,,0.4903357606770995,,0.5166621264195318,,0.6965983320011394,,0.32091746716330133,,,,,,,,5101,0.6934452654657312,0.4922410255446376,0.5125585299077552,0.6734439940780892,0.3463553688115922,0.7220152911193883,0.4903357606770995,0.5166621264195318,0.6965983320011394,0.32091746716330133,,
ieq,full_dataset_training_primary_rows_only,Extra Trees,Primary school,0.7576945696922172,21,,0.61066840090721,,0.6139404348638106,,0.7509563377183336,,0.28249362870025485,,,,,,,,5101,0.7247572727146149,0.5963554189438222,0.5973665961615232,0.7225011159754102,0.3124099646445551,0.7576945696922172,0.61066840090721,0.6139404348638106,0.7509563377183336,0.28249362870025485,,
ieq,full_dataset_training_primary_rows_only,Gradient boosting,Primary school,0.7184865712605372,21,,0.41789106422491823,,0.42231755912636953,,0.6347190626129787,,0.33424818663007255,,,,,,,,5101,0.691247358516635,0.4456813410236095,0.4638411966861743,0.6338626409319634,0.3570405104208058,0.7184865712605372,0.41789106422491823,0.42231755912636953,0.6347190626129787,0.33424818663007255,,
ieq,full_dataset_training_primary_rows_only,Logistic regression,Primary school,0.5195059792197608,21,,0.4660869497911162,,0.404028924206752,,0.5554856801736159,,0.6310527347578906,,,,,,,,5101,0.4853663160397617,0.4634590814350052,0.4021191338850034,0.5238402632478778,0.6691543290337714,0.5195059792197608,0.4660869497911162,0.404028924206752,0.5554856801736159,0.6310527347578906,,
ieq,full_dataset_training_primary_rows_only,Random Forest,Primary school,0.7488727700450892,21,,0.5807969914531473,,0.5887920527122423,,0.7360243875124404,,0.2928837482846501,,,,,,,,5101,0.7145149042318357,0.5840388992134126,0.5831756289348426,0.7105881924127166,0.3249915119084978,0.7488727700450892,0.5807969914531473,0.5887920527122423,0.7360243875124404,0.2928837482846501,,
