StartDate,EndDate,Pupil,Phase,Progress,Classroom,ID,Clothing,Facemask,NumberOpenings,ThermalSatisfaction,IAQSatisfaction,AcousticSatisfaction,VisualSatisfaction,IEQSatisfaction,LocationBack,LocationFront,LocationMiddle,LocationWindow,LocationHallway,LocationDoor,Timing_StartDay,Timing_BeforeMorningBreak,Timing_AfterMorningBreak,Timing_AfterAfternoonBreak,Timing_EndDay,Moment,Thermal_Cold,Thermal_Warm,Thermal_Draft,Thermal_Facemask,Thermal_ColdHands,IAQ_Stuffy,IAQ_Smell,IAQ_Humid,IAQ_Facemask,IAQ_Dry,IAQ_Headache,AC_NoiseClassroom,AC_NoiseHallway,AC_NoisePlayground,AC_NoiseStreet,AC_NoiseDevice,AC_NoiseOtherClass,AC_NoisePupils,Vis_Underexposure,Vis_Overexposure,Vis_Glare,Vis_Blackboard,Mobility_Foot,Mobility_Bike,Mobility_Car,Mobility_PublicTransport,Mobility_Step,WindowOpening_OneTilted,WindowOpening_MultipleTilted,WindowOpening_OneOpened,WindowOpening_MultipleOpened,WindowOpening_None,CourseType_TheoryCourse,CourseType_Exercises,CourseType_GroupWork,CourseType_Crafting,CourseType_Test,CourseType_Presentation,CourseType_CoTeaching,CourseType_NoCourse,CourseType_Other,DateTime_netatmo,T_netatmo,RH_netatmo,CO2_netatmo,Sound_netamo,Pressure_netatmo,EA_netatmo,Trend_T_netatmo,DateTime_netatmo2,T_netatmo2,RH_netatmo2,DateTime_hobou12,T_hobou12,RH_hobou12,lx_hobou12,Tdew_hobou12,Gender,Age
12/11/2021 10:26,12/11/2021 10:27,True,1,100,D,PS_D2,Neutral,True,3,4,4,3,2,4,False,True,False,False,False,False,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Female,10
12/11/2021 10:27,12/11/2021 10:28,True,1,100,D,PS_D18,Warmly,True,3,4,3,2,5,3,False,True,False,True,False,True,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Male,11
12/11/2021 10:27,12/11/2021 10:28,True,1,100,D,PS_D14,Neutral,True,3,5,5,4,5,4,True,False,False,True,True,False,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Female,11
12/11/2021 10:27,12/11/2021 10:28,True,1,100,D,PS_D19,Warmly,True,2,2,2,4,2,2,False,False,False,False,False,True,False,True,False,False,False,End,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Male,11
12/11/2021 10:27,12/11/2021 10:29,True,1,100,D,PS_D9,Neutral,True,3,3,3,1,3,3,False,False,False,False,True,False,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Male,11
12/11/2021 10:27,12/11/2021 10:29,True,1,100,D,PS_D5,Lightly,True,2,4,5,5,3,4,True,False,False,False,False,True,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Female,10
12/11/2021 10:28,12/11/2021 10:30,True,1,100,D,PS_D3,Neutral,True,2,4,3,3,4,4,True,False,False,False,False,True,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Female,11
12/11/2021 10:28,12/11/2021 10:29,True,1,100,D,PS_D16,Neutral,True,2,3,3,4,5,5,True,False,False,True,False,False,False,True,False,False,False,End,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,12/11/2021 10:26,18.4,41,442,64,1018.5,32.02,,12/11/2021 10:26,18.8,41,12/11/2021 10:26,20.412,37.286,,5.672,Female,11
12/11/2021 10:42,12/11/2021 10:43,True,1,100,D,PS_D12,Neutral,True,4,3,3,3,3,5,False,False,False,False,False,True,False,False,True,False,False,Start,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,12/11/2021 10:41,18.1,42,438,54,1018.5,31.788,,12/11/2021 10:40,18.6,41,12/11/2021 10:41,20.388,36.727,,5.431,Female,11
12/11/2021 10:42,12/11/2021 10:44,True,1,100,D,PS_D18,Warmly,True,4,3,3,4,5,4,False,True,False,True,False,True,False,False,True,False,False,Start,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,12/11/2021 10:41,18.1,42,438,54,1018.5,31.788,,12/11/2021 10:40,18.6,41,12/11/2021 10:41,20.388,36.727,,5.431,Male,11
